current,query,next,video_id,sequence_id
Q1,頭が痛い,Q2,103,0
Q1,頭が痛む,Q2,103,0
Q1,頭痛がする,Q2,103,0
Q1,こめかみが痛い,Q2,103,0
Q1,後頭部が痛い,Q2,103,0
Q1,頭部が痛い,Q2,103,0
Q1,頭がズキズキする,Q2,103,0
Q1,こめかみがズキズキする,Q2,103,0
Q1,頭に違和感がある,Q2,103,0
Q1,頭がいてえ,Q2,103,0
Q1,こめかみがいてえ,Q2,103,0
Q1,お腹が痛い,Q9,21,0
Q1,腹が痛い,Q9,21,0
Q1,腹痛がする,Q9,21,0
Q1,はらが痛い,Q9,21,0
Q1,腹部が痛い,Q9,21,0
Q1,横っ腹が痛い,Q9,21,0
Q1,胃が痛い,Q9,21,0
Q1,へその辺りが痛い,Q9,21,0
Q1,みぞおちが痛む,Q9,21,0
Q1,お腹がいてえ,Q9,21,0
Q1,はらがいてえ,Q9,21,0
Q1,お腹に違和感がある,Q9,21,0
Q1,お腹が腫れている,Q9,21,0
Q1,胸が痛い,Q18,42,0
Q1,心臓が痛い,Q18,42,0
Q1,胸部が痛い,Q18,42,0
Q1,肺が痛い,Q18,42,0
Q1,心臓が締め付けられる,Q18,42,0
Q1,胸に違和感がある,Q18,42,0
Q1,心臓に違和感がある,Q18,42,0
Q1,背中が痛い,Q23,74,0
Q1,後ろが痛い,Q23,74,0
Q1,背中がズキズキする,Q23,74,0
Q1,後ろがズキズキする,Q23,74,0
Q1,背中に痛みがある,Q23,74,0
Q1,後ろに痛みがある,Q23,74,0
Q1,背中に違和感,Q23,74,0
Q1,後ろに違和感,Q23,74,0
Q1,背中が腫れている,Q23,74,0
Q1,後ろが腫れている,Q23,74,0
Q1,呼吸困難,Q27,32,0
Q1,息切れがする,Q27,32,0
Q1,息が苦しい,Q27,32,0
Q1,呼吸がし辛い,Q27,32,0
Q1,ゼーゼーする,Q27,32,0
Q1,息がし辛い,Q27,32,0
Q1,呼吸が難しい,Q27,32,0
Q1,息が難しい,Q27,32,0
Q1,息ができない,Q27,32,0
Q1,苦しい,Q27,32,0
Q1,呼吸ができない,Q27,32,0
Q1,手足が痺れる,Q30,84,0
Q1,手が痺れる,Q30,84,0
Q1,足が痺れる,Q30,84,0
Q1,手が動かない,Q30,84,0
Q1,足が動かない,Q30,84,0
Q1,手が動かん,Q30,84,0
Q1,足が動かん,Q30,84,0
Q1,指が痺れる,Q30,84,0
Q1,手の甲が痛い,Q30,84,0
Q1,指が痛い,Q30,84,0
Q1,足首が痛い,Q30,84,0
Q1,足の裏が痛い,Q30,84,0
Q1,すねが痛い,Q30,84,0
Q1,足の先が痛い,Q30,84,0
Q1,足の裏が痺れる,Q30,84,0
Q1,手がズキズキする,Q30,84,0
Q1,足がズキズキする,Q30,84,0
Q1,手足がズキズキする,Q30,84,0
Q1,手足に違和感がある,Q30,84,0
Q1,咳が出る,Q34,32,0
Q1,ゴホゴホする,Q34,32,0
Q1,痰が出る,Q34,32,0
Q1,咳をする,Q34,32,0
Q1,コンコンする,Q34,32,0
Q1,咳が止まらない,Q34,32,0
Q1,咳が止まらん,Q34,32,0
Q1,胸焼けがする,Q37,68,0
Q1,胃がムカムカする,Q37,68,0
Q2,非常に痛い,Q3,32,0
Q2,めちゃくちゃ痛い,Q3,32,0
Q2,痛い,Q3,32,0
Q2,我慢できない,Q3,32,0
Q2,マックス,Q3,32,0
Q2,耐えられない,Q3,32,0
Q2,痛すぎる,Q3,32,0
Q2,かなり痛い,Q3,32,0
Q2,とても痛い,Q3,32,0
Q2,五番目,Q3,32,0
Q2,四番目,Q3,32,0
Q2,5番目,Q3,32,0
Q2,4番目,Q3,32,0
Q2,5です,Q3,32,0
Q2,4です,Q3,32,0
Q2,5,Q3,32,0
Q2,4,Q3,32,0
Q2,我慢できる程度,Q5,32,0
Q2,そこまで痛くない,Q5,32,0
Q2,我慢はできる,Q5,32,0
Q2,そんなに痛くない,Q5,32,0
Q2,そこそこ痛い,Q5,32,0
Q2,めちゃくちゃ痛いほどではない,Q5,32,0
Q2,耐えられる,Q5,32,0
Q2,どちらかといえば痛い,Q5,32,0
Q2,ちょっと痛い,Q5,32,0
Q2,一番目,Q5,32,0
Q2,二番目,Q5,32,0
Q2,三番目,Q5,32,0
Q2,1番目,Q5,32,0
Q2,2番目,Q5,32,0
Q2,3番目,Q5,32,0
Q2,1です,Q5,32,0
Q2,2です,Q5,32,0
Q2,3です,Q5,32,0
Q2,1,Q5,32,0
Q2,2,Q5,32,0
Q2,3,Q5,32,0
Q2,少しだけ痛い,Q5,32,0
Q3,はい,end,105,0
Q3,そうですね,end,105,0
Q3,うん,end,105,0
Q3,そうですね,end,105,0
Q3,あります,end,105,0
Q3,ありそう,end,105,0
Q3,熱は出てます,end,105,0
Q3,熱はあります,end,105,0
Q3,発熱してます,end,105,0
Q3,熱っぽい,end,105,0
Q3,いいえ,Q4,63,0
Q3,それはないです,Q4,63,0
Q3,それはない,Q4,63,0
